"A Lady of QualityBeing a Most Curious, Hitherto Unknown History, as Related","Burnett, Frances Hodgson",3,English,1,1,,,,,,1,
"The Hidden Masterpiece","Balzac, Honoré de",3,English,1,1,,,,,,1,
"Adieu","Balzac, Honoré de",3,English,1,1,,,,,,1,
"The Marriage Contract","Balzac, Honoré de",3,English,1,1,,,,,,1,
"Men of Iron","Pyle, Howard",3,English,1,1,,,,,,1,
"The Crystal Stopper","Leblanc, Maurice",3,English,1,1,,,,,,1,
"The Last Days of Pompeii","Lytton, Edward Bulwer Lytton, Baron",3,English,1,1,,,,,,1,
"The Lily of the Valley","Balzac, Honoré de",3,English,1,1,,,,,,1,
"Frank's Campaign; Or, The Farm and the Camp","Alger, Horatio, Jr.",3,English,1,1,,,,,,1,
