booktesting,,,,,,,,,
,1550,1553,1554,1556,1557,1563,1565,1569,1573
title,"A Lady of QualityBeing a Most Curious, Hitherto Unknown History, as Related by Mr. Isaac Bickerstaff but Not Presented to the World of Fashion Through the Pages of The Tatler, and Now for the First Time Written Down",The Hidden Masterpiece,Adieu,The Marriage Contract,Men of Iron,The Crystal Stopper,The Last Days of Pompeii,The Lily of the Valley,"Frank's Campaign; Or, The Farm and the Camp"
author,"Burnett, Frances Hodgson, 1849-1924","Balzac, Honoré de, 1799-1850","Balzac, Honoré de, 1799-1850","Balzac, Honoré de, 1799-1850","Pyle, Howard, 1853-1911","Leblanc, Maurice, 1864-1941","Lytton, Edward Bulwer Lytton, Baron, 1803-1873","Balzac, Honoré de, 1799-1850","Alger, Horatio, Jr., 1832-1899"
language,‘English’,‘English',‘English',‘English',‘English',‘English',‘English',‘English',‘English'
subject,['Nobility  Fiction'],"['Biographical fiction', 'France  Fiction', 'French fiction  Translations into English', 'Painters  Fiction', 'Poussin, Nicolas, 1594?1665  Fiction']","['France  Social life and customs  Fiction', 'French fiction  Translations into English']","['Marriage  Fiction', 'France  Social life and customs  Fiction', 'French fiction  Translations into English']","['Knights and knighthood  Fiction', 'Great Britain  History  Medieval period, 10661485  Fiction', 'Great Britain  History  Henry IV, 13991413  Fiction']","['Detective and mystery stories', 'Burglars  Fiction', 'Lupin, Arsène (Fictitious character)  Fiction']","['Historical fiction', 'Pompeii (Extinct city)  Fiction']","['Historical fiction', 'Biographical fiction', 'Love stories', 'France  Fiction', 'Manwoman relationships  Fiction', 'French fiction  Translations into English', 'Letters  Fiction', 'Romance fiction']","['Conduct of life  Juvenile fiction', 'Farm life  Juvenile fiction', 'United States  History  Civil War, 18611865  Juvenile fiction']"
released date,1998-12-1,2004-11-1,2004-6-1,2005-3-12,2006-2-15,1998-12-1,2006-2-19,2005-1-25,1998-12-1
